market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source
Main,0.5,50%,LTR-DQN,66,1.5738936161576578,1567733573,
Main,0.5,50%,LTR-DQN,76,-0.3687426363248949,1334194821,
Main,0.5,50%,LTR-DQN,78,1.8195703919842843,1550374758,
Main,0.5,50%,LTR-DQN,82,1.4656661304757055,1013530255,
Main,0.5,50%,LTR-DQN,93,4.4254120891387529,1230915076,
Main,0.5,50%,LTR-DQN,97,5.1171917301578764,1881778125,
Main,0.5,50%,LambdaMART,5,0.42609796034996195,,
Main,0.5,50%,LambdaMART,11,-0.13702038020220275,,
Main,0.5,50%,LambdaMART,12,0.25578967193125091,,
Main,0.5,50%,LambdaMART,29,-0.35180231509173143,,
Main,0.5,50%,LambdaMART,41,-0.39038990095698001,,
Main,0.5,50%,LambdaMART,42,1.4968381158678636,,
Main,0.5,50%,LambdaMART,44,1.2573777537879618,,
Main,0.5,50%,LambdaMART,45,-0.14580006743393648,,
Main,0.5,50%,LambdaMART,47,1.5310091598208038,,
Main,0.5,50%,LambdaMART,50,-0.45367008180584234,,
Main,0.5,50%,LambdaMART,55,3.0982355892632594,,
Main,0.5,50%,LambdaMART,56,0.33476719842163116,,
Main,0.5,50%,LambdaMART,61,0.83852588395203642,,
Main,0.5,50%,LambdaMART,62,0.18043455176024681,,
Main,0.5,50%,LambdaMART,66,2.7241193374135362,,
Main,0.5,50%,LambdaMART,76,-0.34432128938876916,,
Main,0.5,50%,LambdaMART,78,1.3465081579867646,,
Main,0.5,50%,LambdaMART,82,0.68346983995098642,,
Main,0.5,50%,LambdaMART,93,1.6506236431318322,,
Main,0.5,50%,LambdaMART,97,4.7968497723916119,,
Main,0.5,50%,LambdaRank,7,0.78092382332957966,,
Main,0.5,50%,LambdaRank,12,0.092154037380770326,,
Main,0.5,50%,LambdaRank,13,0.59281651194200746,,
Main,0.5,50%,LambdaRank,25,0.71378868978631438,,
Main,0.5,50%,LambdaRank,27,0.2893251044765015,,
Main,0.5,50%,LambdaRank,34,1.0008032861958105,,
Main,0.5,50%,LambdaRank,58,-0.19972217394457137,,
Main,0.5,50%,LambdaRank,63,-0.11957938165424875,,
Main,0.5,50%,LambdaRank,65,0.41876033004921798,,
Main,0.5,50%,LambdaRank,74,4.5618994550696801,,
Main,0.5,50%,LambdaRank,77,0.49394049780171034,,
Main,0.5,50%,LambdaRank,78,1.8845967198080613,,
Main,0.5,50%,LambdaRank,80,0.337595702352397,,
Main,0.5,50%,LambdaRank,86,0.25422775211138271,,
Main,0.5,50%,LambdaRank,92,-0.0061264995242159559,,
Main,0.5,50%,LambdaRank,96,1.6801610088383865,,
Main,0.5,50%,LambdaRank,97,4.0956202337555903,,
Main,0.5,50%,LambdaRank,102,-0.092880791744410995,,
Main,0.5,50%,LambdaRank,106,0.32103078493321457,,
Main,0.5,50%,LambdaRank,115,-0.4604060244100171,,
Main,0.59999999999999998,60%,LTR-DQN,1,-0.32462232498435806,321014601,
Main,0.59999999999999998,60%,LTR-DQN,8,2.2005414101208975,90843299,
Main,0.59999999999999998,60%,LTR-DQN,12,0.50070192320361939,1407606596,
Main,0.59999999999999998,60%,LTR-DQN,18,1.2308805518524322,248988073,
