market,sampling_rate,sampling_label,model,seed,ARR,dqn_seed,source,source_signature
Main,0.7,70%,LambdaMART,24,-0.49097874623207693,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,24,-0.5155163016098187,1813985867.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,25,2.8286824688752126,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,25,4.374295371418671,766888195.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,31,2.1994816937184356,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,31,3.5289133553529304,133263334.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,38,1.283492004876463,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,38,2.3603149519749427,1953242642.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,39,0.07679095153216697,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,39,0.023394128901195632,200206105.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,40,1.0789709771304459,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,40,1.425189125486214,246679472.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,42,1.6291454418813234,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,42,2.5107535062440554,1543400231.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,48,0.255854244294893,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,48,0.6966383221759032,68606694.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,60,0.7979308008993293,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,60,1.122766100802921,1279552063.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,65,0.7260350948326224,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,65,1.4043227600624828,1962903217.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,79,0.7316755722263271,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,79,2.5133407826288563,1365885036.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,88,-0.17563565429865302,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,88,0.00035746912548817456,538703809.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,96,1.317686033907167,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,96,1.6336780950629106,35779246.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,100,0.34246357999686694,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,100,0.504482688263719,249402762.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,117,1.691930494192193,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,117,2.259517525471181,682220389.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LambdaMART,122,4.0253206039712435,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.7,70%,LTR-DQN,122,4.564996634786973,1396296137.0,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,2,2.3844221633726574,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,6,1.0899111393748835,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,9,1.5061138521506763,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,13,0.799874108471937,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,23,2.4810417100548476,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,24,-0.4132281254248148,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,29,0.3938026267861745,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,38,0.2018940461604175,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,43,0.19144522543374998,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,46,0.8094814552289109,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,55,2.0307243244950155,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,56,-0.010131610751962672,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,58,0.7925318519936952,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
Main,0.8,80%,LambdaRank,68,1.3764249280977623,,,a52e50841332670b58272f65f9c33b06aad47f85df3f3681bdf46581f758cb95
